	molecule_chembl_id	units	IC50	canonical_smiles	pIC50	mols
2114	CHEMBL1650447	nM	590.0	Cn1c(=O)cc(NC2CCCCNC2)n(Cc2ccccc2C#N)c1=O	5.229147988357856	<rdkit.Chem.rdchem.Mol object at 0x7f870f967760>
2115	CHEMBL1650446	nM	17000.0	CCn1c(=O)cc(NCCN)n(Cc2ccccc2C#N)c1=O	3.769551078621726	<rdkit.Chem.rdchem.Mol object at 0x7f870f9677d0>
2116	CHEMBL1650445	nM	830.0	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2c(F)ccc(F)c2Cl)c1=O	5.080921907623926	<rdkit.Chem.rdchem.Mol object at 0x7f870f967840>
2117	CHEMBL1650444	nM	27.0	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(Cl)ccc2Cl)c1=O	6.568636235841013	<rdkit.Chem.rdchem.Mol object at 0x7f870f9678b0>
2118	CHEMBL1650443	nM	1.9006586456267565	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O	7.721095874524574	<rdkit.Chem.rdchem.Mol object at 0x7f870f967920>
2119	CHEMBL1650442	nM	890.0	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccc(F)cc2Cl)c1=O	5.050609993355088	<rdkit.Chem.rdchem.Mol object at 0x7f870f967990>
2120	CHEMBL1650441	nM	14.0	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2Cl)c1=O	6.853871964321762	<rdkit.Chem.rdchem.Mol object at 0x7f870f967a00>
2121	CHEMBL1650440	nM	8.0	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2Br)c1=O	7.096910013008056	<rdkit.Chem.rdchem.Mol object at 0x7f870f967a70>
2122	CHEMBL1650439	nM	12.0	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2Br)c1=O	6.920818753952375	<rdkit.Chem.rdchem.Mol object at 0x7f870f967ae0>
2123	CHEMBL1650438	nM	36.0	N[C@@H]1CCCN(c2cc(=O)[nH]c(=O)n2Cc2ccccc2Br)C1	6.443697499232713	<rdkit.Chem.rdchem.Mol object at 0x7f870f967b50>
2124	CHEMBL1650437	nM	68.0	CCn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O	6.167491087293763	<rdkit.Chem.rdchem.Mol object at 0x7f870f967bc0>
