SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
O=C([O-])[C@@H]1CCCN1C(=O)CN[C@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,"CHEMBL3084826",3528,"NO POSES STORED FOR LIGAND",2.02,,,,,,,,,,,,,,
CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)CC2)cc1,"CHEMBL3084938",3534,"NO POSES STORED FOR LIGAND",4.25,,,,,,,,,,,,,,
[NH3+][C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc3ccccc3c2)CC1,"CHEMBL3084948",3553,"NO POSES STORED FOR LIGAND",5.69,,,,,,,,,,,,,,
[NH3+]C[C@]1(c2ccccc2)CC[C@H](OCc2ccccc2)CC1,"CHEMBL3112962",3636,"NO POSES STORED FOR LIGAND",13.19,,,,,,,,,,,,,,
N#C[C@@H]1C[C@H]2C[C@H]2N1C(=O)[C@@H](N)[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,"CHEMBL3114069",3647,"NO POSES STORED FOR LIGAND",2.25,,,,,,,,,,,,,,
CCOC(=O)c1c(O)cc([O-])c2c1O[C@@H](c1ccc(O)cc1)CC2,"CHEMBL3121246",3649,"NO POSES STORED FOR LIGAND",3.14,,,,,,,,,,,,,,
CCOC(=O)c1c([O-])cc(O)c2c1O[C@@H](c1ccc(O)cc1)CC2,"CHEMBL3121246",3650,"NO POSES STORED FOR LIGAND",2.84,,,,,,,,,,,,,,
Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(N4CC(=O)NCC4=O)cc23)cc1,"CHEMBL3142227",3680,"NO POSES STORED FOR LIGAND",2.8,,,,,,,,,,,,,,
O=C(CCCCc1ccccc1)c1ccc(O)cc1,"CHEMBL3220151",3734,"NO GOOD POSES FOUND",0.06,,,,,,,,,,,,,,
O=C(CCCCc1ccccc1)c1ccc([O-])cc1,"CHEMBL3220151",3735,"INVALID ATOM(S), ETC.",0.05,,,,,,,,,,,,,,
COc1ccc2c(c1OC)[C@@H](O)N(C)c1c-2ccc2cc3c(cc12)OCO3,"CHEMBL3220152",3736,"NO GOOD POSES FOUND",0.06,,,,,,,,,,,,,,
COc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@H]3C#N)c2c1,"CHEMBL3233843",3737,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
